date,latitude,longitude,altitude,temp_min,temp_max,wind_speed,humidity_mean,solar_radiation,eto
2001-09-28,40.7458992004395,67.1875,239,15.772,31.378,3.33747704813954,0.184938486970989,18.78682824,6.9
2001-09-29,40.7458992004395,67.1875,239,8.23599999999999,26.013,1.61617540383576,0.31913050435399,18.694743912,3.8
2001-09-30,40.7458992004395,67.1875,239,6.85399999999999,30.135,1.3685080438835902,0.26231806751132997,18.8227143,3.97
2001-10-01,40.7458992004395,67.1875,239,8.976,32.325,1.1493635627955001,0.254595243118709,18.38789874,3.82
2001-10-02,40.7458992004395,67.1875,239,13.452,21.980999999999998,4.28132841390041,0.354218047509308,17.0512866,5.25
2001-10-03,40.7458992004395,67.1875,239,6.072,19.0,1.80683448130961,0.326911140515167,17.17193736,3.17
2001-10-04,40.7458992004395,67.1875,239,6.922999999999999,22.505,2.24844390267502,0.215704784773579,17.18803566,4.1
2001-10-05,40.7458992004395,67.1875,239,9.290000000000019,23.406,3.2151466831184705,0.193904081785484,15.52477914,5.17
2001-10-06,40.7458992004395,67.1875,239,10.168,25.628,2.1006628145352098,0.37833314955958003,17.070361452,3.85
2001-10-07,40.7458992004395,67.1875,239,8.922000000000029,32.324,1.75145973123308,0.32891157787085196,16.9796826,4.29
2001-10-08,40.7458992004395,67.1875,239,17.692999999999998,29.945999999999998,2.8115001912255297,0.21751022552867896,14.30048808,5.59
2001-10-09,40.7458992004395,67.1875,239,11.935,20.97,4.0048776964886095,0.363980602211758,16.56005058,4.71
2001-10-10,40.7458992004395,67.1875,239,2.5389999999999904,11.472999999999999,3.0427109644713997,0.46489257881405505,16.85171358,2.62
2001-10-11,40.7458992004395,67.1875,239,-1.22500000000002,13.859000000000002,2.0919342600611697,0.38682538941923,17.079075,2.5
2001-10-12,40.7458992004395,67.1875,239,0.38999999999998597,19.789,2.2205370812934397,0.233226856126065,17.05527936,3.48
2001-10-13,40.7458992004395,67.1875,239,2.00900000000001,25.204,0.9859910530574458,0.17090891774429198,16.91246268,2.71
2001-10-14,40.7458992004395,67.1875,239,6.67899999999997,25.085,1.95275853527173,0.136927796811427,13.467489192,3.96
2001-10-15,40.7458992004395,67.1875,239,9.776000000000009,21.78,2.1091084940820397,0.5137847876701239,13.889078352,2.86
2001-10-16,40.7458992004395,67.1875,239,6.21600000000001,27.336,1.39723193334836,0.49515704597746096,14.838977412,2.77
2001-10-17,40.7458992004395,67.1875,239,9.38900000000001,18.507,2.90130192079394,0.48233959981218605,9.349144704,2.94
2001-10-18,40.7458992004395,67.1875,239,2.10500000000002,18.814,1.30766451821672,0.43032671494594393,15.39196542,2.21
2001-10-19,40.7458992004395,67.1875,239,5.235000000000009,18.489,1.32669820303086,0.32721341130721004,10.5218424,2.25
2001-10-20,40.7458992004395,67.1875,239,8.88,20.054000000000002,1.83128556469991,0.525650120338259,5.2521192,2.12
2001-10-21,40.7458992004395,67.1875,239,5.04399999999998,19.867,1.8184478834449598,0.583300877302496,14.447084400000001,2.22
2001-10-22,40.7458992004395,67.1875,239,6.12,23.726999999999997,0.9827433849696741,0.516087253482711,12.19967028,1.97
2001-10-23,40.7458992004395,67.1875,239,9.387,16.474,2.1222017445087,0.6020018583791761,2.1515062680000003,1.8
2001-10-24,40.7458992004395,67.1875,239,7.038000000000009,17.507,1.68373663097092,0.7904530059802979,13.33799982,1.55
